layer,n_pairs,recovery_cosine_mean,recovery_cosine_std,kl_baseline_mean,kl_patched_mean,kl_reduction_mean
0,24,0.24985619860214792,0.48800434606806004,1.2028422963931126e-05,1.1890789562945693e-05,1.3763340098543325e-07
1,24,0.15046542399350968,0.4217799950390451,1.2028422963931126e-05,1.1874057925886212e-05,1.543650380449141e-07
2,24,-0.09832689317619193,0.3790245699083924,1.2028422963931126e-05,1.2494740666711053e-05,-4.663177027799269e-07
3,24,-0.045439787533502946,0.3399692170990116,1.2028422963931126e-05,1.2499092006650232e-05,-4.7066904271910613e-07
4,24,-0.006337594794393407,0.4476231595216762,1.2028422963931126e-05,1.3769018785010417e-05,-1.7405958210792915e-06
5,24,0.32903886877572813,0.38278204682208655,1.2028422963931126e-05,1.329891453026948e-05,-1.2704915663383541e-06
6,24,0.5715219514873103,0.24443958808574903,1.2028422963931126e-05,1.1539451743807903e-05,4.889712201232231e-07
7,24,0.7016386840513856,0.19238643775262868,1.2028422963931126e-05,1.0308284934207988e-05,1.720138029723138e-06
8,24,0.7470232110380236,0.21209419986637476,1.2028422963931126e-05,1.3179946117572826e-05,-1.1515231536417007e-06
9,24,0.9537526799905532,0.046025402381528475,1.2028422963931126e-05,6.493552019502216e-06,5.53487094442891e-06
10,24,0.9543981251214516,0.04802471193578533,1.2028422963931126e-05,6.609178879329304e-06,5.419244084601822e-06
11,24,1.0,1.2617852778345905e-16,1.2028422963931126e-05,4.413461587143912e-06,7.614961376787214e-06
