layer,n_clusters,method,adjusted_rand_index,normalized_mutual_info
0,4,kmeans,-0.02992194275802255,0.0
1,4,kmeans,-0.02992194275802255,0.0
2,4,kmeans,-0.02992194275802255,0.0
3,4,kmeans,-0.02992194275802255,0.0
4,4,kmeans,-0.02992194275802255,0.0
5,4,kmeans,-0.02745424292845258,0.0
6,4,kmeans,-0.02992194275802255,0.0
7,4,kmeans,-0.02992194275802255,0.0
8,4,kmeans,-0.02745424292845258,0.0
9,4,kmeans,-0.02745424292845258,0.0
10,4,kmeans,-0.025179856115107913,0.0
11,4,kmeans,0.14624134735585145,0.2377989801986273
