layer,n_samples,n_features,conditions,accuracy,f1_macro,auroc_macro_ovr,permutation_accuracy_mean,permutation_accuracy_std,permutation_f1_macro_mean,permutation_f1_macro_std,permutation_auroc_macro_ovr_mean,permutation_auroc_macro_ovr_std
0,72,768,"['threat', 'care', 'neutral']",0.5,0.49266022198353027,0.7633101851851851,0.3319444444444445,0.022779471481745445,0.3231178752360194,0.02324653544318368,0.5019097222222222,0.021148116983258487
1,72,768,"['threat', 'care', 'neutral']",0.5416666666666666,0.5421189752496743,0.7662037037037037,0.33472222222222225,0.01577474540500076,0.32633293877973046,0.02189782803619113,0.5027199074074075,0.016264662946387842
2,72,768,"['threat', 'care', 'neutral']",0.6944444444444444,0.703985408116735,0.8871527777777778,0.3305555555555556,0.02133651596630168,0.32457310114528615,0.02416065605790291,0.501099537037037,0.01493391973296145
3,72,768,"['threat', 'care', 'neutral']",0.5833333333333334,0.5874183006535948,0.8249421296296298,0.3208333333333334,0.02808853946688428,0.31614808027012326,0.02737341523610821,0.4994502314814815,0.019996055350073053
4,72,768,"['threat', 'care', 'neutral']",0.9166666666666666,0.9145294481428935,0.9846643518518517,0.33333333333333337,0.027074428735580452,0.3257835783070807,0.03053565720891089,0.4946180555555556,0.02992748732877163
5,72,768,"['threat', 'care', 'neutral']",0.9583333333333334,0.9581699346405229,0.9820601851851851,0.3472222222222222,0.0367465459870082,0.33776162417325856,0.03873990357107021,0.503269675925926,0.025647757076215305
6,72,768,"['threat', 'care', 'neutral']",0.9722222222222222,0.9722161914411154,0.9991319444444443,0.35,0.030301978096210314,0.3474330030113154,0.03090971281985079,0.5044849537037037,0.024182701112654807
7,72,768,"['threat', 'care', 'neutral']",0.9722222222222222,0.9722161914411154,0.9988425925925926,0.3208333333333333,0.043234395600759395,0.3113898636263856,0.051755935348182416,0.49296875,0.029358891408329417
8,72,768,"['threat', 'care', 'neutral']",1.0,1.0,1.0,0.3125,0.02173954978124794,0.3026669065170052,0.026540723070514805,0.4809895833333333,0.02100465262087615
9,72,768,"['threat', 'care', 'neutral']",1.0,1.0,1.0,0.3166666666666666,0.03611111111111111,0.312826979918135,0.03478105613184723,0.4934317129629629,0.02349674225720212
10,72,768,"['threat', 'care', 'neutral']",1.0,1.0,1.0,0.3194444444444445,0.031056499687497074,0.30970232810743326,0.03232985859815458,0.49198495370370365,0.03786620894020383
11,72,768,"['threat', 'care', 'neutral']",0.9861111111111112,0.9861050803300043,0.9988425925925926,0.35,0.038689967436622556,0.34360651320421887,0.039118230996605025,0.49890046296296287,0.04015215449710765
