layer,n_samples,n_features,conditions,accuracy,f1_macro,auroc_macro_ovr,permutation_accuracy_mean,permutation_accuracy_std,permutation_f1_macro_mean,permutation_f1_macro_std,permutation_auroc_macro_ovr_mean,permutation_auroc_macro_ovr_std
0,48,768,"['threat', 'narrative_threat_control']",0.8125,0.8117647058823529,0.890625,0.4875000000000001,0.0568257570707744,0.47967496577113156,0.06500376024680508,0.4960069444444445,0.035630904995774385
1,48,768,"['threat', 'narrative_threat_control']",0.7708333333333334,0.7707338254450716,0.9131944444444445,0.4791666666666667,0.022821773229381934,0.47677944290393254,0.022280514409285197,0.4828125,0.03052249237053323
2,48,768,"['threat', 'narrative_threat_control']",0.7291666666666666,0.7290490664350847,0.9114583333333334,0.4979166666666667,0.04213280920032642,0.4886977841903136,0.04396350676593716,0.4968749999999999,0.07434448616714483
3,48,768,"['threat', 'narrative_threat_control']",0.8333333333333334,0.8333333333333334,0.9201388888888888,0.475,0.07204840194079411,0.4686054435760319,0.07354774629652568,0.4956597222222222,0.08081872272739182
4,48,768,"['threat', 'narrative_threat_control']",0.9375,0.9372549019607843,0.9583333333333333,0.4770833333333334,0.04001952648395529,0.4686358962624947,0.03713293536337354,0.4769097222222222,0.03298656797929226
5,48,768,"['threat', 'narrative_threat_control']",0.9375,0.9372549019607843,0.9722222222222221,0.4979166666666667,0.04414504187586893,0.49605714801455203,0.04421203519861598,0.5083333333333333,0.041860083486612555
6,48,768,"['threat', 'narrative_threat_control']",1.0,1.0,1.0,0.4958333333333334,0.04145780987944251,0.4941649387602931,0.0414755107349019,0.490625,0.03511239119501973
7,48,768,"['threat', 'narrative_threat_control']",1.0,1.0,1.0,0.5395833333333334,0.048814060474416596,0.5314038423900846,0.05321842638628997,0.5420138888888888,0.050917507721731564
8,48,768,"['threat', 'narrative_threat_control']",1.0,1.0,1.0,0.5083333333333334,0.037500000000000006,0.5058612630758785,0.03895139160355395,0.5034722222222222,0.060340788878412405
9,48,768,"['threat', 'narrative_threat_control']",1.0,1.0,1.0,0.4791666666666667,0.05103103630798289,0.4741961138746816,0.04939978100637621,0.49461805555555555,0.07484813746837371
10,48,768,"['threat', 'narrative_threat_control']",1.0,1.0,1.0,0.5104166666666666,0.05609546674098442,0.505479801088237,0.05774267981498141,0.5189236111111111,0.049771916604492615
11,48,768,"['threat', 'narrative_threat_control']",1.0,1.0,1.0,0.4666666666666667,0.043898557303553076,0.46160734384583807,0.0412047792306948,0.4762152777777778,0.0763022314655369
