sample_id,task_id,condition_name,variant_index,pc1,pc2,pc3
arithmetic_reasoning__care__variant_0,arithmetic_reasoning,care,0,14.840222241948327,-1.1975226417173557,1.7623893088765752
arithmetic_reasoning__care__variant_1,arithmetic_reasoning,care,1,17.67904675287481,-1.2738188558183094,0.852220546981847
arithmetic_reasoning__care__variant_2,arithmetic_reasoning,care,2,20.226114333170965,-0.2381494264952522,2.350261849384098
arithmetic_reasoning__narrative_threat_control__variant_0,arithmetic_reasoning,narrative_threat_control,0,9.168837358236742,1.9310715850257278,0.43431611620021077
arithmetic_reasoning__narrative_threat_control__variant_1,arithmetic_reasoning,narrative_threat_control,1,11.563340466514125,3.4147799974781163,-1.9125253020378186
arithmetic_reasoning__narrative_threat_control__variant_2,arithmetic_reasoning,narrative_threat_control,2,8.5490161001884,1.915919218118012,3.292415340679101
arithmetic_reasoning__neutral__variant_0,arithmetic_reasoning,neutral,0,13.05199636882778,-1.0517196690036275,-1.6594154569110635
arithmetic_reasoning__neutral__variant_1,arithmetic_reasoning,neutral,1,24.926699558332405,-0.5603201849147504,1.2397289523061426
arithmetic_reasoning__neutral__variant_2,arithmetic_reasoning,neutral,2,15.412328600876288,-2.495625396165903,1.8856480120263601
arithmetic_reasoning__threat__variant_0,arithmetic_reasoning,threat,0,14.783840111753792,0.00035406039215085135,1.9001098919889723
arithmetic_reasoning__threat__variant_1,arithmetic_reasoning,threat,1,15.111880062466863,0.24689532120928978,2.0200116516560422
arithmetic_reasoning__threat__variant_2,arithmetic_reasoning,threat,2,17.613582253155695,0.7486183770921487,2.022927162574703
classify_sentiment__care__variant_0,classify_sentiment,care,0,-10.05683715770147,9.839549826981395,8.972541521101824
classify_sentiment__care__variant_1,classify_sentiment,care,1,-8.247605613988863,9.450949402192713,8.570152877751445
classify_sentiment__care__variant_2,classify_sentiment,care,2,-8.950921244046329,9.889501005580707,8.834769961091931
classify_sentiment__narrative_threat_control__variant_0,classify_sentiment,narrative_threat_control,0,-10.108106858864685,8.758174042798123,7.04793262755834
classify_sentiment__narrative_threat_control__variant_1,classify_sentiment,narrative_threat_control,1,-10.763041068200714,12.39842962417792,5.830406802707699
classify_sentiment__narrative_threat_control__variant_2,classify_sentiment,narrative_threat_control,2,-9.742524451751208,10.830623324958928,7.555370971579917
classify_sentiment__neutral__variant_0,classify_sentiment,neutral,0,-11.594444890587976,7.632125940279632,6.776178145343471
classify_sentiment__neutral__variant_1,classify_sentiment,neutral,1,-7.275097685114685,7.886713530396655,8.122719516255593
classify_sentiment__neutral__variant_2,classify_sentiment,neutral,2,-9.705265188432836,5.403994304817479,7.7566334173894385
