layer,n_clusters,method,adjusted_rand_index,normalized_mutual_info
0,4,kmeans,0.13533834586466165,0.42572496572879365
1,4,kmeans,0.13533834586466165,0.42572496572879365
2,4,kmeans,0.13533834586466165,0.42572496572879365
3,4,kmeans,0.13533834586466165,0.42572496572879365
4,4,kmeans,0.13533834586466165,0.42572496572879365
5,4,kmeans,0.13533834586466165,0.42572496572879365
6,4,kmeans,0.13533834586466165,0.42572496572879365
7,4,kmeans,0.13533834586466165,0.42572496572879365
8,4,kmeans,0.13533834586466165,0.42572496572879365
9,4,kmeans,0.13533834586466165,0.42572496572879365
10,4,kmeans,0.13533834586466165,0.42572496572879365
11,4,kmeans,0.1210820094461142,0.38811970958576497
