layer,n_samples,n_features,conditions,accuracy,f1_macro,auroc_macro_ovr,permutation_accuracy_mean,permutation_accuracy_std,permutation_f1_macro_mean,permutation_f1_macro_std,permutation_auroc_macro_ovr_mean,permutation_auroc_macro_ovr_std
0,18,768,"['threat', 'care', 'neutral']",0.6666666666666666,0.6666666666666666,0.8564814814814815,0.3222222222222223,0.04843221048378526,0.23874503231920113,0.0583756768646477,0.4666666666666667,0.060249253648138636
1,18,768,"['threat', 'care', 'neutral']",0.5555555555555556,0.5702075702075702,0.8657407407407408,0.3222222222222222,0.06478835438717,0.2565211093229669,0.06709955187175724,0.5189814814814815,0.10112217582926332
2,18,768,"['threat', 'care', 'neutral']",0.6666666666666666,0.654040404040404,0.8518518518518517,0.32777777777777783,0.08031573497111645,0.2829150914445032,0.09407893057601296,0.48796296296296304,0.12296352074840022
3,18,768,"['threat', 'care', 'neutral']",0.6666666666666666,0.657516339869281,0.875,0.35555555555555557,0.056655772373253165,0.2729785026921249,0.06328944829166909,0.5064814814814815,0.06429020495125909
4,18,768,"['threat', 'care', 'neutral']",0.6666666666666666,0.654040404040404,0.8703703703703703,0.24444444444444446,0.08678055195451839,0.20290672949341676,0.07042842169928716,0.44074074074074077,0.07162622076227301
5,18,768,"['threat', 'care', 'neutral']",0.6666666666666666,0.6555555555555556,0.8379629629629631,0.32222222222222224,0.05983516452371671,0.2475085847282643,0.06776275207278068,0.49398148148148147,0.08420455081882941
6,18,768,"['threat', 'care', 'neutral']",0.8333333333333334,0.8222222222222223,0.9212962962962963,0.3444444444444445,0.12120791238484127,0.314995249848191,0.13248410438766361,0.5305555555555556,0.11642759160865392
7,18,768,"['threat', 'care', 'neutral']",1.0,1.0,1.0,0.3,0.07934920476158722,0.26802754435107373,0.09003171715506647,0.4685185185185186,0.10874801923365225
8,18,768,"['threat', 'care', 'neutral']",0.7222222222222222,0.7151515151515152,0.9444444444444445,0.3722222222222222,0.09953596037316066,0.3409458188869954,0.10784564282382385,0.5013888888888889,0.08214299026989527
9,18,768,"['threat', 'care', 'neutral']",0.6111111111111112,0.6102564102564103,0.8657407407407408,0.3277777777777778,0.04614791034954486,0.27640849086501257,0.058531260632164184,0.49398148148148147,0.06702738062229807
10,18,768,"['threat', 'care', 'neutral']",0.7777777777777778,0.764102564102564,0.9027777777777778,0.39444444444444443,0.07222222222222222,0.3736534054181113,0.06969406343938882,0.5736111111111112,0.11863871942835297
11,18,768,"['threat', 'care', 'neutral']",0.6666666666666666,0.6666666666666666,0.875,0.3833333333333334,0.0976577546180386,0.34502674885027823,0.10075788589312762,0.5375,0.13653012475533172
