layer,n_samples,n_features,conditions,accuracy,f1_macro,auroc_macro_ovr,permutation_accuracy_mean,permutation_accuracy_std,permutation_f1_macro_mean,permutation_f1_macro_std,permutation_auroc_macro_ovr_mean,permutation_auroc_macro_ovr_std
0,12,768,"['threat', 'narrative_threat_control']",0.75,0.7333333333333334,1.0,0.5249999999999999,0.06508541396588878,0.4712562437562438,0.10212340483427747,0.4277777777777777,0.18847994948541524
1,12,768,"['threat', 'narrative_threat_control']",1.0,1.0,1.0,0.5333333333333334,0.15898986690282427,0.49183239962651726,0.1791315080088441,0.5583333333333335,0.28448838636279805
2,12,768,"['threat', 'narrative_threat_control']",0.9166666666666666,0.916083916083916,1.0,0.5166666666666666,0.11666666666666667,0.49255667535079295,0.1323581886454819,0.49722222222222223,0.20086617988656583
3,12,768,"['threat', 'narrative_threat_control']",1.0,1.0,1.0,0.4583333333333333,0.14068285846778444,0.4109140859140859,0.15317128194823076,0.475,0.17805967233930384
4,12,768,"['threat', 'narrative_threat_control']",1.0,1.0,1.0,0.55,0.0927960727138337,0.4980485527544351,0.11016135959072912,0.5305555555555556,0.16218511752216666
5,12,768,"['threat', 'narrative_threat_control']",0.75,0.7333333333333334,1.0,0.55,0.10671873729054747,0.5308928571428572,0.11031061022754338,0.6083333333333334,0.21280388583660895
6,12,768,"['threat', 'narrative_threat_control']",1.0,1.0,1.0,0.4750000000000001,0.1238839062276542,0.4325108878050054,0.14068850626489468,0.475,0.15930501065488523
7,12,768,"['threat', 'narrative_threat_control']",0.9166666666666666,0.916083916083916,1.0,0.5166666666666667,0.2438123139721299,0.5127072927072927,0.241505245714872,0.5416666666666666,0.3128547369303413
8,12,768,"['threat', 'narrative_threat_control']",0.9166666666666666,0.916083916083916,1.0,0.4166666666666667,0.1536590742882148,0.39465423465423466,0.15237785579569316,0.3888888888888889,0.234718113047529
9,12,768,"['threat', 'narrative_threat_control']",1.0,1.0,1.0,0.5083333333333333,0.2022443516585266,0.4981152181152181,0.21116930031155523,0.5249999999999999,0.20803682603725313
10,12,768,"['threat', 'narrative_threat_control']",1.0,1.0,1.0,0.425,0.20899893673307424,0.4072261072261073,0.20956563755991814,0.40555555555555556,0.23478385121239378
11,12,768,"['threat', 'narrative_threat_control']",1.0,1.0,1.0,0.6083333333333334,0.10573814617041266,0.5826848151848152,0.12410070855968384,0.6694444444444445,0.11944444444444448
