sample_id,task_id,condition_name,variant_index,pc1,pc2,pc3
arithmetic_reasoning__care__variant_0,arithmetic_reasoning,care,0,-19.256285230597598,-2.6556710126344116,4.171206969473658
arithmetic_reasoning__care__variant_1,arithmetic_reasoning,care,1,-21.123142747713402,-3.3678433682406297,3.7088663490061426
arithmetic_reasoning__care__variant_2,arithmetic_reasoning,care,2,-23.65287887141526,-6.0765086898035445,-1.2197282846433097
arithmetic_reasoning__narrative_threat_control__variant_0,arithmetic_reasoning,narrative_threat_control,0,-12.735103580521512,17.14621909382205,-0.12522949382146745
arithmetic_reasoning__narrative_threat_control__variant_1,arithmetic_reasoning,narrative_threat_control,1,-13.141756076531664,16.85459924864297,0.2681927452600948
arithmetic_reasoning__narrative_threat_control__variant_2,arithmetic_reasoning,narrative_threat_control,2,-13.854685957093475,15.320113186649914,0.013744527676617057
arithmetic_reasoning__neutral__variant_0,arithmetic_reasoning,neutral,0,-17.810781299380505,-1.1358358297225308,5.906893406811816
arithmetic_reasoning__neutral__variant_1,arithmetic_reasoning,neutral,1,-26.577858059376993,-13.63706049866725,-12.11150609129808
arithmetic_reasoning__neutral__variant_2,arithmetic_reasoning,neutral,2,-18.73645481565344,-5.688821107620179,-5.487108567398688
arithmetic_reasoning__threat__variant_0,arithmetic_reasoning,threat,0,-19.169086713532554,-1.60843803836504,5.184442562578581
arithmetic_reasoning__threat__variant_1,arithmetic_reasoning,threat,1,-19.759714461283448,-2.3770651335965427,3.0352468137499304
arithmetic_reasoning__threat__variant_2,arithmetic_reasoning,threat,2,-22.07212772380926,-3.7791334210095378,0.5269330303481582
summarize_paragraph__care__variant_0,summarize_paragraph,care,0,19.138685674377143,-3.2239322110446453,2.8605872877376175
summarize_paragraph__care__variant_1,summarize_paragraph,care,1,19.515380697882378,-4.296668936483005,1.8099798947264245
summarize_paragraph__care__variant_2,summarize_paragraph,care,2,19.28986796364736,-5.170857533065937,2.440517511562584
summarize_paragraph__narrative_threat_control__variant_0,summarize_paragraph,narrative_threat_control,0,17.33200466874083,11.557087351004185,-5.617553715260079
summarize_paragraph__narrative_threat_control__variant_1,summarize_paragraph,narrative_threat_control,1,16.578083279812876,10.431579947927037,-5.433577229031614
summarize_paragraph__narrative_threat_control__variant_2,summarize_paragraph,narrative_threat_control,2,16.500804254387777,10.084052163360345,-5.354740331821279
summarize_paragraph__neutral__variant_0,summarize_paragraph,neutral,0,20.109516121252913,-2.2012567945038204,8.648049968244706
summarize_paragraph__neutral__variant_1,summarize_paragraph,neutral,1,19.215958138387617,-9.562277052385069,-6.30572892084189
summarize_paragraph__neutral__variant_2,summarize_paragraph,neutral,2,19.292478411746288,-6.254795224597823,-5.233241398788448
summarize_paragraph__threat__variant_0,summarize_paragraph,threat,0,20.599860692754522,-3.1540650294137,4.805256288659056
summarize_paragraph__threat__variant_1,summarize_paragraph,threat,1,20.47502421792801,-3.349371780026076,2.6770938968306757
summarize_paragraph__threat__variant_2,summarize_paragraph,threat,2,19.84221141599137,-3.854049330226804,0.8314027802387955
