sample_id,task_id,condition_name,variant_index,pc1,pc2,pc3
arithmetic_reasoning__care__variant_0,arithmetic_reasoning,care,0,-0.04054384524313939,0.008998117049143087,0.004544935303651809
arithmetic_reasoning__care__variant_1,arithmetic_reasoning,care,1,-0.03989523392125517,0.01088613609239449,0.004310916795962924
arithmetic_reasoning__care__variant_2,arithmetic_reasoning,care,2,-0.043155743044274116,0.0008111316638319587,0.008410408675082911
arithmetic_reasoning__narrative_threat_control__variant_0,arithmetic_reasoning,narrative_threat_control,0,-0.04225869596984222,-0.021358667021953597,0.000319918637026231
arithmetic_reasoning__narrative_threat_control__variant_1,arithmetic_reasoning,narrative_threat_control,1,-0.042183377272178156,-0.029899951977950406,-0.002044593283059664
arithmetic_reasoning__narrative_threat_control__variant_2,arithmetic_reasoning,narrative_threat_control,2,-0.041275238279764925,-0.013300360796641458,0.0009102512758665774
arithmetic_reasoning__neutral__variant_0,arithmetic_reasoning,neutral,0,-0.040895107698588215,0.011784715422773068,-0.010933415717236319
arithmetic_reasoning__neutral__variant_1,arithmetic_reasoning,neutral,1,-0.04093531443077192,0.008150698474632236,-0.011812527582602247
arithmetic_reasoning__neutral__variant_2,arithmetic_reasoning,neutral,2,-0.04652382360270713,0.009743514233052416,-0.006678841928699782
arithmetic_reasoning__threat__variant_0,arithmetic_reasoning,threat,0,-0.0394009936646709,0.008442247801700515,6.826068564706461e-05
arithmetic_reasoning__threat__variant_1,arithmetic_reasoning,threat,1,-0.03664174859594587,-0.006013876924293647,0.0012045004978948855
arithmetic_reasoning__threat__variant_2,arithmetic_reasoning,threat,2,-0.0456318887591591,0.016563310076169492,0.010020460634717794
summarize_paragraph__care__variant_0,summarize_paragraph,care,0,0.04440010194429097,0.010945997984585431,0.006192562228299846
summarize_paragraph__care__variant_1,summarize_paragraph,care,1,0.044730666624483495,0.01133658075063688,0.004399219753406981
summarize_paragraph__care__variant_2,summarize_paragraph,care,2,0.042451095681244194,0.0019924292211079522,0.008537186031060085
summarize_paragraph__narrative_threat_control__variant_0,summarize_paragraph,narrative_threat_control,0,0.04027587559963607,-0.027941865866196357,-0.0005085538309325587
summarize_paragraph__narrative_threat_control__variant_1,summarize_paragraph,narrative_threat_control,1,0.03392698995201223,-0.03508992574197924,-0.0017676940530526532
summarize_paragraph__narrative_threat_control__variant_2,summarize_paragraph,narrative_threat_control,2,0.0383791991629658,-0.020445645448685774,-0.001008346498890483
summarize_paragraph__neutral__variant_0,summarize_paragraph,neutral,0,0.046387578697396646,0.013440465836758482,-0.010229832585355418
summarize_paragraph__neutral__variant_1,summarize_paragraph,neutral,1,0.04517307060762409,0.013567446177060124,-0.013743884323385481
summarize_paragraph__neutral__variant_2,summarize_paragraph,neutral,2,0.04240155715368737,0.010631308262487276,-0.008941021474833333
summarize_paragraph__threat__variant_0,summarize_paragraph,threat,0,0.04414604403421777,0.008424886971602246,0.003208182683686823
summarize_paragraph__threat__variant_1,summarize_paragraph,threat,1,0.04288058013510495,-0.0072180324223450765,0.0038273811313689382
summarize_paragraph__threat__variant_2,summarize_paragraph,threat,2,0.03418825088963348,0.01554934018210989,0.011714526944375065
